date,title,short_opening,url,label,sentiment,outlet,shortopening,is_personal
2025-02-24,Zelenskyy names his terms for giving up power,Zelenskyy states conditions for stepping down.,https://www.foxnews.com/politics/zelenskyy-names-his-terms-giving-up-power-us-ukraine-lock-mineral-deal-nato,Domestic Governance,neutral,zelensky_foxnews_filtered,,
2024-05-09,Ukraine__ Zelenskyy fires state guard head after 2 accused in assassination plot,The move came as Zelenskyy said his country's army is facing __ really difficult situation_ in eastern regions where troops are battling to hold back Russia.,https://globalnews.ca/news/10486088/ukraine-zelenskyy-assassination-state-guard/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2024-03-30,Zelenskyy fires more aides in reshuffle as Russia launches attacks across Ukraine,No explanation was given immediately for the latest changes in the Ukraine president's wide-reaching personnel shakeup over recent months.,https://globalnews.ca/news/10392929/zelenskyy-fires-aides-russia-attacks/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2024-02-08,Ukraine__ Zelenskyy removes top general in major military shakeup,Zelenskyy said he thanked Gen. Valerii Zaluzhnyi for his two years of service as commander-in-chief and discussed possible replacements for the top military job.,https://globalnews.ca/news/10281741/ukraine-top-military-general-replaced-zelenskyy/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2024-02-05,Zelenskyy says he__ thinking about replacing Ukraine__ military chief,"Ukraine's President Volodymyr Zelenskyy said he was weighing a possible dismissal of the country's top military officer, a prospect that has shocked the nation.",https://globalnews.ca/news/10272585/ukraine-military-chief-zelenskyy/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2023-09-04,Ukraine__ defense minister resigns after Zelenskyy names replacement,Ukrainian Defense Minister Oleksii Reznikov submitted a letter of resignation on Monday after President Volodymyr Zelenskyy said he would be replaced and named his successor.,https://globalnews.ca/news/9937705/ukraines-defense-minister-resigns-after-zelenskyy-names-replacement/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2023-02-26,"Ukraine__ Zelenskyy fires senior military commander, no reason given","In a one-line decree, Zelenskyy announced the dismissal of Eduard Moskalyov as commander of the joint forces of Ukraine, which are engaged in battles in the Donbas region.",https://globalnews.ca/news/9512994/ukraine-volodymyr-zelenskyy-military-commander/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2023-02-04,Ukraine__ Zelenskyy revokes citizenship of numerous former politicians,"President Volodymyr Zelenskyy revoked the citizenship of several former influential politicians in the latest of steps to ""cleanse"" the country from pro-Russian influences.",https://globalnews.ca/news/9461001/ukraines-zelenskyy-revokes-citizenship-of-numerous-former-politicians/,Domestic Governance,neutral,zelensky_globalnews_filtered,,
2025-07-24,"After protests, Zelenskyy says he'll restore Ukraine's anti-corruption agencies",Joanna Kakissis Ukrainian president Volodymyr Zelenskyy says he will restore the independence of the country's anti-corruption watchdogs after protests over a controversial law that would bring the agencies under government control.,https://www.npr.org/2025/07/24/nx-s1-5477347/after-protests-zelenskyy-says-hell-restore-ukraines-anti-corruption-agencies,Domestic Governance,positive,zelensky_npr_filtered,,
2024-02-09,Zelenskyyreplaces Ukraine's army's leader almost 2 years into war with Russia,"STEVE INSKEEP, HOST: President Volodymyr Zelenskyy says he is sidelining his military commander as Russia's full-scale invasion of Ukraine approaches its third year.",https://www.npr.org/2024/02/09/1230337044/zelenskyy-replaces-ukraines-armys-leader-almost-2-years-into-war-with-russia,Domestic Governance,neutral,zelensky_npr_filtered,,
2024-02-08,Ukraine'sZelenskyyreplaces the army's leader almost 2 years into war with Russia,"KYIV, Ukraine (AP)  Ukraine's president replaced his top general Thursday in a shake-up aimed at reigniting momentum in the deadlocked war with Russia, which is grinding into its third year as the country grapples with shortages of ammunition and personnel and struggles to maintain support from the West.",https://www.npr.org/2024/02/08/1230053272/ukraine-zelenskyy-replaces-army-leader,Domestic Governance,neutral,zelensky_npr_filtered,,
2023-09-04,Ukraine's President Volodymyr Zelenskyy sacks the country's defense minister,"NPR's Leila Fadel speaks with Michael Bociurkiw, an expert on foreign affairs, about the replacement of the Ukrainian defense minister.",https://www.npr.org/2023/09/04/1197528512/ukraines-president-volodymyr-zelenskyy-sacks-the-countrys-defense-minister,Domestic Governance,neutral,zelensky_npr_filtered,,
2023-09-04,"Zelenskyy Sacks Defense Minister, Putin Meets Erdogan, Americans Celebrate Labor Day","Ukrainian President Volodymyr Zelenskyy is replacing his defense minister. Russian President Vladimir Putin will meet his Turkish counterpart to revive the suspended grain deal. And Americans have the day off to celebrate Labor Day.Want more comprehensive analysis of the most important news of the day, plus a little fun?Subscribeto the Up First newsletter.Today's episode of Up First was edited by Rafael Nam, Mark Katkov and Peter Granitz. It was produced by Shelby Hawkins, Chad Campbell, Taylor Haney and Ziad Buchh. We get engineering support from Carleigh Strange . And our technical director is Neisha Heinis.",https://www.npr.org/2023/09/03/1197523300/zelenskyy-sacks-defense-minister-putin-meets-erdogan-americans-celebrate-labor-d,Domestic Governance,neutral,zelensky_npr_filtered,,
2023-09-04,Ukraine's Zelenskyy says defense minister will be replaced this week,"KYIV, Ukraine  Ukraine President Volodymyr Zelenskyy said Sunday that defense minister Oleksii Reznikov will be replaced this week with Rustem Umerov, a Crimean Tatar lawmaker.",https://www.npr.org/2023/09/03/1197512104/ukraine-zelenskyy-defense-minister-replaced-umerov-reznikov,Domestic Governance,neutral,zelensky_npr_filtered,,
2023-01-24,President Zelenskyy shakes up Ukraine's Cabinet amid corruption allegations,"KYIV, Ukraine  A string of resignations, dismissals and reassignments shook Ukraine's government Monday and Tuesday, as Ukrainian President Volodymyr Zelenskyy and other leaders of the government confirmed the shake-up of high-level positions.",https://www.npr.org/2023/01/24/1150943435/president-zelenskyy-shakes-up-ukraines-cabinet-amid-corruption-allegations,Domestic Governance,negative,zelensky_npr_filtered,,
2022-07-08,Zelenskyy has consolidated Ukraine's TV outlets and dissolved rival political parties,President Zelenskyy has consolidated all TV platforms in Ukraine into one state broadcast and restricted political rivals. Political opposition fears such civil liberty constraints could continue.,https://www.npr.org/2022/07/08/1110601672/zelenskyy-has-consolidated-ukraines-tv-outlets-and-dissolved-rival-political-par,Domestic Governance,negative,zelensky_npr_filtered,,
2023-04-22,Zelensky Signs Ban on Russian Place Names in Struggle Over National Identity,The action late Friday was the latest in a series of steps by Ukraine to distance itself from a long legacy of Russian domination.,,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2022-10-04,Zelensky promises a __lear and fair_ approach in reclaimed territory.,President Volodymyr Zelensky of Ukraine is seeking to reassure Ukrainians living in territory the country has reclaimed that they would be treated fairly.,,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2023-11-04,Zelensky Rebuke of Top General Signals Rift in Ukrainian Leadership,The presidential office said Gen. Valery Zaluzhny__ declaration that the war is at a stalemate was helpful to the Russians.,,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2022-02-24,Zelensky Declares Martial Law in Ukraine,"In a televised address to the nation, President Volodymyr Zelensky of Ukraine declared martial law, but did not say what restrictions would be in place.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2024-08-30,Zelensky Dismisses the Head of the Air Force Days After F-16 Crash,"The Ukrainian president gave no reason, but there are indications that friendly fire may have brought down the jet, a Western official said.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2024-09-04,"N.Y. Official Accused of Aiding China, and Zelensky Plans Cabinet Shake-Up","Plus, robot taxis _ with human helpers.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2022-12-03,Zelensky Proposes Barring Orthodox Church That Answers to Moscow,"Ukraine__ president called for legislation to prevent an ancient branch of the Orthodox Church, led by a Putin ally, from operating in his country, but it remains unclear how that would work.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2024-10-16,Zelensky Pitches His __ictory Plan_ to Ukrainian Lawmakers,"The proposal would rely heavily on increased Western assistance. So far, it has drawn a lukewarm response from Ukraine__ allies.",,Domestic Governance,positive,zelensky_nytimes_filtered,,
2024-02-05,Zelensky Hints at Major Shake-Up of Ukraine__ Government,"The president said a __eset_ was needed to revive the struggling war effort, adding that his plans were __bout the direction of the country__ leadership_ and not just about replacing his top general.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2024-02-08,"Zelensky Removes His Top General, in Major Shake-Up of Ukraine Military","Gen. Valery Zaluzhny led the effort that thwarted Russia__ initial assault on Kyiv. But his troops have struggled to make progress recently, and tensions have mounted with the civilian leadership.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2024-03-07,Zelensky Names Ukraine__ Ex-Top General Ambassador to U.K.,"The former top general, Valery Zaluzhny, was dismissed last month amid tensions with the civilian leadership. He has been a very popular figure in Ukraine.",,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2023-01-23,Zelensky vows action against corruption after a minister is fired for embezzlement.,The Ukrainian leader said the dismissal should serve as notice to officials whose actions __iolate the principle of justice._,,Domestic Governance,neutral,zelensky_nytimes_filtered,,
2022-07-17,"Zelenskyy fires security chief, top prosecutor over treason concerns within their departments","Ukrainian President Volodymyr Zelenskyy fired the head of the country's security service and its prosecutor general on Sunday, citing hundreds of criminal proceedings into treason and collaboration by people within their departments.",https://www.cbc.ca/news/world/zelenskyy-fires-security-service-chief-prosecutor-general-1.6523496,Domestic Governance,neutral,zelensky_cbc_filtered,,
2025-11-19,Top Ukrainian ministers submit resignations amid scandal,"KYIV, Ukraine -- As Russias renewed attacks on Ukraines energy infrastructure cause rolling blackouts ahead of winter, a major embezzlement and kickbacks scandal involving the state-owned nuclear power company has put top officials under scrutiny.",https://www.ctvnews.ca/world/article/zelenskyy-seeks-dismissal-of-justice-and-energy-ministers-in-ukrainian-corruption-probe/,Domestic Governance,neutral,zelensky_ctv_filtered,,
2022-03-21,Live updates: Zelensky hails protesters confronting troops,"KYIV, Ukraine -- Ukrainian President Volodymyr Zelenskyy said late Monday he was prepared to discuss a commitment from Ukraine not to seek NATO membership in exchange for a cease-fire, the withdrawal of Russian troops and a guarantee of Ukraine's security.",https://www.ctvnews.ca/world/article/live-updates-zelensky-hails-protesters-confronting-troops/,Domestic Governance,positive,zelensky_ctv_filtered,,
2024-02-12,Zelensky__ Military Shake-Up Ties Him to Battlefield Performance,,https://www.wsj.com/world/zelenskys-military-shake-up-ties-him-to-battlefield-performance-8c94399d,Domestic Governance,negative,zelensky_wsj_filtered,The decision to replace Ukraine__ popular top general comes as the army is struggling to hold back Russian forces.,
2024-02-05,"Ukraine__ Zelensky, Facing Rising Challenges, Touts Leadership Overhaul",,https://www.wsj.com/world/europe/ukraines-zelensky-facing-rising-challenges-touts-leadership-overhaul-db96ab08,Domestic Governance,negative,zelensky_wsj_filtered,The Ukrainian president is considering a leadership shuffle aimed at reinvigorating efforts to combat Russia__ invasion.,
2024-01-31,"Tensions Between Zelensky, Top General Spark Worry in the West and on the Front Line",,https://www.wsj.com/world/europe/tensions-between-zelensky-top-general-spark-worry-in-the-west-and-on-the-frontline-09ec7ad0,Domestic Governance,negative,zelensky_wsj_filtered,Speculation rises that the president may dismiss his popular armed forces chief.,
2022-07-17,"Zelensky Removes Ukraine__ General Prosecutor, Head of Secret Service",,https://www.wsj.com/world/europe/russian-strikes-intensify-as-moscow-aims-to-tighten-grip-on-donbas-11658059249,Domestic Governance,neutral,zelensky_wsj_filtered,Dismissals came amid allegations of collaboration with Russia inside key offices.,
